Player,Salary,salary_per_cap,G,WS,BPM,VORP,TS%,PER,Year
Joe Johnson,23180790.0,0.36756980892729724,80.0,4.1,-0.1,1.3,0.523,14.1,2015
Carmelo Anthony,22458401.0,0.356115135177991,40.0,2.9,3.0,1.8,0.531,21.5,2015
Dwight Howard,21436271.0,0.3399075715531594,41.0,3.6,-0.4,0.5,0.596,19.2,2015
LeBron James,20644400.0,0.3273511456433838,69.0,10.4,7.1,5.7,0.577,25.9,2015
Chris Paul,20068563.0,0.31822029651946404,82.0,16.1,8.0,7.2,0.596,26.0,2015
Kevin Durant,19997513.0,0.31709368112265124,27.0,4.8,10.0,2.8,0.633,27.6,2015
Deron Williams,19754465.0,0.31323975263616904,68.0,3.6,0.2,1.2,0.504,15.7,2015
Rudy Gay,19317326.0,0.30630818996273684,68.0,6.1,2.7,2.9,0.556,19.7,2015
Derrick Rose,18862876.0,0.2991021327202093,51.0,1.2,-0.6,0.6,0.493,15.9,2015
Blake Griffin,17632688.0,0.27959546499643223,67.0,9.0,4.0,3.6,0.551,22.8,2015
Carlos Boozer,16800000.0,0.2663918179655911,71.0,2.2,-1.7,0.1,0.517,16.4,2015
Zach Randolph,16500000.0,0.2616348212162055,71.0,7.2,1.3,1.9,0.538,19.5,2015
Marc Gasol,15829688.0,0.25100591453262505,81.0,10.2,5.1,4.8,0.558,21.7,2015
Kevin Love,15719063.0,0.24925177198128914,75.0,8.7,2.7,3.0,0.562,18.8,2015
Russell Westbrook,15719062.0,0.24925175612463332,67.0,10.6,8.1,5.8,0.536,29.1,2015
Brook Lopez,15719000.0,0.24925077301197177,72.0,7.0,1.2,1.6,0.558,22.7,2015
LaMarcus Aldridge,15200000.0,0.24102116863553477,71.0,8.6,2.9,3.1,0.528,22.8,2015
David Lee,15012000.0,0.23804011733925315,49.0,3.2,0.9,0.7,0.541,17.8,2015
Dwyane Wade,15000000.0,0.23784983746927774,62.0,3.5,2.1,2.1,0.534,21.4,2015
Josh Smith,14945778.0,0.23699005787679378,83.0,2.3,0.7,1.6,0.467,14.9,2015
Josh Smith,14945778.0,0.23699005787679378,28.0,0.2,1.5,0.8,0.417,14.3,2015
Josh Smith,14945778.0,0.23699005787679378,55.0,2.1,0.2,0.8,0.5,15.2,2015
Roy Hibbert,14898938.0,0.2362473321176564,76.0,4.2,-1.2,0.4,0.501,15.4,2015
Jeremy Lin,14898938.0,0.2362473321176564,74.0,2.7,-0.4,0.8,0.539,15.6,2015
Eric Gordon,14898938.0,0.2362473321176564,61.0,2.9,-1.0,0.5,0.544,12.7,2015
Gordon Hayward,14746000.0,0.2338222468881313,76.0,8.7,4.0,4.0,0.567,20.2,2015
Chandler Parsons,14700000.0,0.23309284071989217,66.0,5.5,1.6,2.0,0.567,16.3,2015
James Harden,14693906.0,0.23299621025925632,81.0,16.4,8.8,8.1,0.605,26.7,2015
Tyson Chandler,14596888.0,0.2314578292238167,75.0,10.3,2.6,2.7,0.697,20.1,2015
DeMarcus Cousins,13701250.0,0.2172560057083961,59.0,6.0,4.3,3.2,0.545,25.2,2015
John Wall,13701250.0,0.2172560057083961,79.0,7.8,3.6,4.0,0.523,19.9,2015
Al Jefferson,13500000.0,0.21406485372234996,65.0,4.7,1.6,1.8,0.5,19.7,2015
Eric Bledsoe,13000000.0,0.20613652580670735,81.0,7.0,2.1,2.9,0.555,18.4,2015
Andrew Bogut,12972973.0,0.20570796796955523,67.0,5.2,2.4,1.8,0.565,15.8,2015
Derrick Favors,12950000.0,0.2053436930151431,74.0,8.3,2.5,2.6,0.558,21.8,2015
Rajon Rondo,12909090.0,0.20469499722508522,68.0,1.6,-0.8,0.6,0.448,13.5,2015
Rajon Rondo,12909090.0,0.20469499722508522,46.0,0.6,-1.5,0.2,0.46,12.4,2015
Joakim Noah,12700000.0,0.20137952905732182,67.0,5.6,2.1,2.1,0.482,15.3,2015
Tony Parker,12500000.0,0.19820819789106478,68.0,4.1,-1.3,0.3,0.539,15.9,2015
Andre Iguodala,12289544.0,0.19487106953143582,77.0,5.1,0.9,1.5,0.553,12.3,2015
Serge Ibaka,12250000.0,0.19424403393324347,64.0,5.6,0.9,1.6,0.549,16.6,2015
Nikola Pekovic,12100000.0,0.1918655355585507,31.0,1.2,-2.0,0.0,0.502,16.6,2015
Al Horford,12000000.0,0.19027986997542218,76.0,8.7,4.1,3.6,0.563,21.4,2015
David West,12000000.0,0.19027986997542218,66.0,4.3,1.6,1.7,0.508,16.0,2015
