Player,G,WS,BPM,VORP
Precious Achiuwa,21.0,0.3,-4.7,-0.4
Steven Adams,26.0,1.7,-1.2,0.1
Bam Adebayo,18.0,1.8,1.7,0.5
Santi Aldama,14.0,0.0,-7.4,-0.2
LaMarcus Aldridge,23.0,2.0,1.1,0.4
Nickeil Alexander-Walker,27.0,0.1,-3.2,-0.2
Grayson Allen,25.0,2.2,0.9,0.5
Jarrett Allen,23.0,3.8,4.1,1.2
Jose Alvarado,7.0,0.2,5.1,0.1
Kyle Anderson,22.0,0.9,-0.8,0.1
Giannis Antetokounmpo,23.0,4.2,9.7,2.2
Thanasis Antetokounmpo,20.0,0.4,-4.4,-0.2
Carmelo Anthony,26.0,1.7,-1.0,0.2
Cole Anthony,20.0,1.1,0.7,0.5
OG Anunoby,15.0,1.3,0.9,0.4
D.J. Augustin,20.0,0.3,-3.7,-0.1
Deni Avdija,26.0,1.0,-0.9,0.2
Joel Ayayi,4.0,0.0,-0.9,0.0
Deandre Ayton,18.0,2.2,1.3,0.5
Udoka Azubuike,4.0,0.0,-2.1,0.0
Marvin Bagley III,10.0,0.4,-1.6,0.0
LaMelo Ball,24.0,2.1,3.8,1.2
Lonzo Ball,26.0,2.0,1.9,0.9
Mo Bamba,25.0,1.4,0.3,0.4
Desmond Bane,26.0,1.6,-0.3,0.3
Dalano Banton,25.0,0.4,-2.6,-0.1
Harrison Barnes,20.0,2.2,1.9,0.7
Scottie Barnes,23.0,2.0,0.2,0.5
RJ Barrett,24.0,0.5,-3.6,-0.3
Will Barton,23.0,1.3,0.7,0.5
Charles Bassey,11.0,0.4,2.7,0.1
Keita Bates-Diop,18.0,0.2,-5.4,-0.2
Nicolas Batum,15.0,1.4,3.5,0.6
Kent Bazemore,18.0,0.2,-5.9,-0.3
Darius Bazley,24.0,0.0,-3.8,-0.3
Bradley Beal,23.0,0.9,-0.7,0.3
Malik Beasley,25.0,0.7,-2.6,-0.1
DeAndre' Bembry,24.0,1.1,-1.1,0.1
Dāvis Bertāns,16.0,0.0,-6.5,-0.3
Patrick Beverley,17.0,1.4,1.8,0.4
Saddiq Bey,24.0,0.1,-3.8,-0.3
Khem Birch,15.0,1.1,-0.2,0.2
Goga Bitadze,17.0,0.1,-5.0,-0.1
Nemanja Bjelica,25.0,1.2,1.0,0.3
Eric Bledsoe,26.0,0.9,-1.4,0.1
Keljin Blevins,3.0,0.0,-2.8,0.0
Bogdan Bogdanović,20.0,1.0,-1.2,0.1
Bojan Bogdanović,25.0,2.5,0.8,0.5
Bol Bol,10.0,0.1,-0.8,0.0
Leandro Bolmaro,14.0,-0.1,-8.3,-0.2
Isaac Bonga,9.0,0.1,-2.5,0.0
Devin Booker,21.0,1.8,1.1,0.5
Brandon Boston Jr.,13.0,0.3,-0.3,0.1
Chris Boucher,23.0,0.6,-2.5,0.0
James Bouknight,10.0,-0.1,-12.4,-0.1
Avery Bradley,23.0,0.4,-4.3,-0.3
Tony Bradley,20.0,0.6,-2.6,0.0
Ignas Brazdeikis,12.0,-0.2,-9.4,-0.2
Mikal Bridges,24.0,2.5,0.5,0.5
Miles Bridges,27.0,2.1,0.5,0.6
Oshae Brissett,16.0,0.2,-3.2,-0.1
Malcolm Brogdon,22.0,2.5,3.4,1.1
Armoni Brooks,20.0,0.5,-1.6,0.0
Dillon Brooks,12.0,0.2,-3.9,-0.2
Bruce Brown,22.0,0.9,-2.1,0.0
Greg Brown III,11.0,0.0,-4.4,0.0
Jaylen Brown,13.0,0.8,0.9,0.3
Moses Brown,10.0,0.2,-2.2,0.0
Sterling Brown,20.0,0.1,-4.6,-0.2
Troy Brown Jr.,17.0,0.3,-3.4,-0.1
Jalen Brunson,23.0,1.9,0.4,0.4
Reggie Bullock,23.0,0.0,-6.2,-0.6
Trey Burke,13.0,0.2,-1.7,0.0
Alec Burks,25.0,1.9,1.9,0.6
Jared Butler,16.0,0.0,-4.6,0.0
Jimmy Butler,18.0,3.4,8.5,1.6
Devontae Cacok,1.0,0.0,59.3,0.0
Kentavious Caldwell-Pope,26.0,1.4,-0.1,0.4
Facundo Campazzo,24.0,0.9,-1.4,0.1
Vlatko Čančar,5.0,0.1,2.1,0.0
Clint Capela,25.0,3.0,1.3,0.6
Vernon Carey Jr.,1.0,0.0,-45.2,0.0
Jevon Carter,25.0,0.1,-4.9,-0.2
Wendell Carter Jr.,26.0,2.1,1.4,0.7
Alex Caruso,23.0,2.0,1.5,0.6
Willie Cauley-Stein,18.0,0.2,-4.5,-0.1
Justin Champagnie,11.0,0.2,-3.6,0.0
Chris Chiozza,11.0,0.3,-2.5,0.0
Josh Christopher,16.0,0.2,-1.5,0.0
Brandon Clarke,19.0,1.3,1.5,0.3
Jordan Clarkson,25.0,0.8,-2.6,-0.1
Nicolas Claxton,7.0,0.2,-4.9,-0.1
Amir Coffey,16.0,0.4,-2.6,0.0
John Collins,25.0,3.4,2.8,1.0
Mike Conley,23.0,2.9,3.7,0.9
Pat Connaughton,26.0,2.5,1.6,0.7
Tyler Cook,1.0,0.1,4.9,0.0
Sharife Cooper,5.0,0.0,-9.7,0.0
Petr Cornelie,7.0,-0.1,-14.1,-0.1
DeMarcus Cousins,4.0,0.1,-2.5,0.0
Robert Covington,26.0,0.5,-1.9,0.0
Torrey Craig,26.0,1.0,-0.5,0.2
Jae Crowder,24.0,1.3,-0.6,0.2
Jarrett Culver,9.0,0.4,3.6,0.1
Cade Cunningham,19.0,-0.5,-2.9,-0.1
Seth Curry,24.0,1.9,-0.9,0.3
Stephen Curry,24.0,4.4,8.7,2.2
Anthony Davis,25.0,3.5,3.1,1.2
Ed Davis,9.0,0.2,-1.0,0.0
Terence Davis,17.0,0.0,-3.7,-0.1
Gabriel Deck,6.0,0.0,-5.6,0.0
Dewayne Dedmon,26.0,1.4,-1.2,0.1
Sam Dekker,1.0,0.0,-11.3,0.0
DeMar DeRozan,24.0,3.5,2.9,1.1
Hamidou Diallo,17.0,0.6,-0.8,0.1
Gorgui Dieng,21.0,0.4,-1.9,0.0
Spencer Dinwiddie,22.0,1.4,-0.1,0.3
Luka Dončić,20.0,1.3,3.9,1.0
Luguentz Dort,23.0,1.3,-1.8,0.0
Ayo Dosunmu,25.0,0.7,-2.3,0.0
Devon Dotson,4.0,0.0,-5.5,0.0
Sekou Doumbouya,2.0,0.1,18.8,0.1
Jeff Dowtin,3.0,0.0,-9.9,0.0
PJ Dozier,18.0,0.3,-3.3,-0.1
Goran Dragić,5.0,0.3,0.2,0.1
Andre Drummond,25.0,1.4,-0.4,0.2
