Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,22,TOR,21,17,26.5,3.4,8.8,.386,0.3,1.2,.269,3.0,7.5,.405,.405,0.9,1.7,.543,2.3,5.9,8.2,1.6,0.5,0.6,1.1,2.5,8.0
Steven Adams,C,28,MEM,24,24,24.7,2.6,5.0,.525,0.0,0.0,,2.6,5.0,.525,.525,1.9,2.9,.657,3.8,4.8,8.5,2.7,0.8,0.8,1.5,1.8,7.2
Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Santi Aldama,PF,21,MEM,13,0,10.5,1.6,4.5,.356,0.2,2.0,.115,1.4,2.5,.545,.381,0.5,0.8,.600,1.1,1.8,2.8,0.9,0.2,0.2,0.3,1.0,3.9
LaMarcus Aldridge,C,36,BRK,22,5,23.6,6.0,10.5,.570,0.5,1.3,.357,5.5,9.2,.599,.591,1.5,1.8,.800,1.5,4.4,5.9,0.9,0.3,1.1,0.6,1.6,13.8
Nickeil Alexander-Walker,SG,23,NOP,26,18,28.8,5.0,13.8,.362,2.0,6.8,.301,3.0,7.0,.421,.436,1.5,1.9,.780,1.0,2.9,4.0,2.7,0.9,0.4,1.5,1.7,13.5
Grayson Allen,SG,26,MIL,24,24,28.9,4.6,10.2,.451,3.1,7.3,.425,1.5,2.9,.514,.602,1.2,1.4,.879,0.5,3.2,3.7,1.3,0.7,0.3,0.6,1.6,13.5
Jarrett Allen,C,23,CLE,22,22,33.5,7.1,10.0,.710,0.0,0.2,.250,7.1,9.9,.719,.713,3.0,4.4,.677,3.4,7.9,11.2,1.8,0.9,1.3,2.1,1.7,17.3
Jose Alvarado,PG,23,NOP,7,0,5.4,0.7,1.9,.385,0.3,0.7,.400,0.4,1.1,.375,.462,0.3,0.4,.667,0.3,0.4,0.7,1.3,0.4,0.0,0.0,0.4,2.0
Kyle Anderson,PF,28,MEM,21,2,21.7,3.1,7.3,.429,0.9,2.4,.360,2.3,5.0,.462,.487,0.7,0.9,.789,1.1,4.1,5.2,2.4,0.9,0.5,1.0,1.4,7.9
Giannis Antetokounmpo,PF,27,MIL,22,22,32.4,9.8,18.5,.530,1.2,4.1,.300,8.5,14.4,.595,.563,6.8,10.0,.679,1.9,9.9,11.8,5.8,1.0,1.7,3.2,3.0,27.6
Thanasis Antetokounmpo,SF,29,MIL,20,5,12.9,1.5,3.1,.484,0.0,0.3,.000,1.5,2.8,.536,.484,0.5,0.9,.588,1.1,2.1,3.2,0.8,0.5,0.2,0.7,1.8,3.5
Carmelo Anthony,PF,37,LAL,24,3,28.5,4.8,11.0,.441,2.6,6.1,.429,2.2,4.8,.457,.561,2.0,2.4,.828,0.6,3.1,3.8,0.9,0.8,0.6,0.8,2.3,14.3
Cole Anthony,PG,21,ORL,19,19,34.0,6.8,16.3,.421,2.6,7.5,.345,4.3,8.8,.485,.500,3.4,3.8,.877,0.5,5.8,6.3,5.7,0.9,0.2,3.0,2.5,19.6
OG Anunoby,SF,24,TOR,15,15,37.3,7.6,17.7,.430,2.7,7.5,.366,4.9,10.2,.477,.508,2.2,2.7,.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1
D.J. Augustin,PG,34,HOU,19,0,12.5,1.3,3.1,.407,0.9,2.2,.405,0.4,0.9,.412,.551,0.8,0.9,.882,0.1,0.8,0.9,2.1,0.2,0.0,1.1,0.6,4.2
Deni Avdija,SF,21,WAS,25,0,21.3,2.2,5.3,.424,0.8,2.5,.306,1.5,2.8,.529,.496,0.8,1.3,.656,0.8,4.0,4.8,1.2,0.6,0.7,0.5,2.1,6.1
Joel Ayayi,SG,21,WAS,4,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,C,23,PHO,18,18,30.9,7.3,11.9,.614,0.1,0.3,.200,7.3,11.7,.624,.616,1.6,2.6,.617,3.0,8.1,11.1,1.5,0.8,0.7,1.8,2.3,16.3
Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Bagley III,PF,22,SAC,9,0,17.8,2.4,4.9,.500,0.4,1.7,.267,2.0,3.2,.621,.545,1.2,1.8,.688,1.6,4.3,5.9,0.7,0.1,0.1,0.8,1.0,6.6
LaMelo Ball,PG,20,CHO,24,24,33.3,7.3,17.3,.418,2.9,7.5,.391,4.3,9.9,.439,.502,2.6,2.9,.900,1.5,6.2,7.7,8.3,1.9,0.4,3.3,3.1,20.0
Lonzo Ball,PG,24,CHI,25,25,35.2,4.6,11.0,.413,3.0,7.0,.426,1.6,4.0,.390,.549,0.3,0.4,.727,1.0,4.6,5.6,4.9,1.7,1.0,2.3,2.5,12.4
Mo Bamba,C,23,ORL,24,24,29.3,4.2,9.2,.457,1.3,4.1,.327,2.9,5.1,.561,.529,0.8,1.0,.720,2.3,6.6,8.9,1.8,0.8,2.2,1.5,2.7,10.5
