Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Precious Achiuwa,C,22,TOR,21,17,556,71,184,.386,7,26,.269,64,158,.405,.405,19,35,.543,49,124,173,33,11,12,23,53,168,10.5,.421,.141,.190,9.1,25.7,16.9,8.5,1.0,2.1,10.3,17.2,0.0,-0.2,0.6,0.4,.031,0.0,-3.5,-1.2,-4.7,-0.4
Steven Adams,C,28,MEM,24,24,592,63,120,.525,0,0,0.0,63,120,.525,.525,46,70,.657,91,114,205,65,20,18,36,42,172,17.7,.570,.000,.583,16.2,20.8,18.5,14.4,1.6,2.8,19.3,13.2,0.0,1.2,0.5,1.7,.140,0.0,0.7,-1.0,-0.4,0.2
Bam Adebayo,C,24,MIA,18,18,592,126,243,.519,0,1,.000,126,242,.521,.519,85,112,.759,49,134,183,57,20,6,53,59,337,19.8,.577,.004,.461,9.4,25.1,17.4,16.2,1.7,1.1,15.3,25.8,0.0,1.0,0.9,1.8,.149,0.0,0.8,0.9,1.7,0.5
Santi Aldama,PF,21,MEM,13,0,136,21,59,.356,3,26,.115,18,33,.545,.381,6,10,.600,14,23,37,12,2,3,4,13,51,11.0,.402,.441,.169,10.8,18.3,14.5,12.4,0.7,2.0,5.9,20.8,0.0,0.0,0.1,0.0,.018,0.0,-3.6,-3.4,-7.0,-0.2
LaMarcus Aldridge,C,36,BRK,23,6,542,138,242,.570,10,29,.345,128,213,.601,.591,33,41,.805,33,101,134,20,7,25,15,38,319,21.2,.613,.120,.169,6.7,18.8,13.0,6.4,0.6,4.1,5.5,22.4,0.0,1.3,0.7,2.0,.182,0.0,2.1,-0.9,1.1,0.4
Nickeil Alexander-Walker,SG,23,NOP,26,18,749,130,359,.362,53,176,.301,77,183,.421,.436,39,50,.780,27,76,103,70,24,11,39,44,352,11.3,.462,.490,.139,3.8,11.3,7.4,15.1,1.6,1.4,9.3,23.9,0.0,-0.3,0.2,0.0,-0.002,0.0,-1.4,-2.1,-3.5,-0.3
Grayson Allen,SG,26,MIL,24,24,693,110,244,.451,74,174,.425,36,70,.514,.602,29,33,.879,13,76,89,32,16,8,15,38,323,15.0,.625,.713,.135,2.0,11.0,6.6,6.8,1.1,1.1,5.5,16.9,0.0,1.5,0.7,2.2,.153,0.0,2.1,-1.1,1.1,0.5
Jarrett Allen,C,23,CLE,22,22,736,157,221,.710,1,4,.250,156,217,.719,.713,65,96,.677,74,173,247,39,20,28,46,38,380,24.1,.722,.018,.434,11.1,25.2,18.2,9.0,1.3,3.3,14.9,18.4,0.0,2.4,1.3,3.7,.241,0.0,2.9,1.4,4.3,1.2
Jose Alvarado,PG,23,NOP,7,0,38,5,13,.385,2,5,.400,3,8,.375,.462,2,3,.667,2,3,5,9,3,0,0,3,14,20.1,.489,.385,.231,5.5,8.8,7.1,35.8,3.9,0.0,0.0,16.1,0.0,0.1,0.0,0.2,.194,0.0,2.5,2.5,5.1,0.1
Kyle Anderson,PF,28,MEM,21,2,455,66,154,.429,18,50,.360,48,104,.462,.487,15,19,.789,23,87,110,50,18,10,20,30,165,14.3,.508,.325,.123,5.3,20.6,12.9,15.2,1.9,2.0,11.0,16.8,0.0,0.4,0.4,0.8,.088,0.0,-0.3,-0.9,-1.2,0.1
Giannis Antetokounmpo,PF,27,MIL,22,22,713,215,406,.530,27,90,.300,188,316,.595,.563,150,221,.679,42,218,260,128,23,37,71,65,607,31.3,.603,.222,.544,6.3,30.7,18.9,33.7,1.6,5.0,12.4,34.5,0.0,2.7,1.5,4.2,.284,0.0,7.2,3.2,10.4,2.2
Thanasis Antetokounmpo,SF,29,MIL,20,5,257,30,62,.484,0,6,.000,30,56,.536,.484,10,17,.588,21,42,63,15,10,4,13,35,70,10.4,.504,.097,.274,8.7,16.4,12.7,8.1,1.9,1.5,15.8,13.7,0.0,0.1,0.4,0.5,.086,0.0,-3.9,-0.6,-4.4,-0.2
Carmelo Anthony,PF,37,LAL,25,3,705,120,274,.438,63,151,.417,57,123,.463,.553,49,60,.817,18,80,98,21,19,15,19,59,352,14.5,.586,.551,.219,2.7,11.8,7.3,4.4,1.3,1.9,5.9,19.3,0.0,1.1,0.6,1.7,.116,0.0,1.0,-1.7,-0.7,0.2
Cole Anthony,PG,21,ORL,19,19,646,130,309,.421,49,142,.345,81,167,.485,.500,64,73,.877,9,110,119,109,18,4,57,48,373,16.6,.547,.460,.236,1.5,18.1,9.7,29.8,1.3,0.6,14.3,26.5,0.0,0.5,0.4,0.9,.069,0.0,1.8,-1.5,0.3,0.4
OG Anunoby,SF,24,TOR,15,15,560,114,265,.430,41,112,.366,73,153,.477,.508,33,40,.825,24,57,81,41,23,9,25,41,302,16.8,.534,.423,.151,4.4,11.7,7.9,11.8,2.1,1.6,8.1,23.6,0.0,0.8,0.4,1.3,.109,0.0,1.6,-0.8,0.9,0.4
D.J. Augustin,PG,34,HOU,19,0,238,24,59,.407,17,42,.405,7,17,.412,.551,15,17,.882,2,16,18,40,4,0,21,12,80,10.0,.602,.712,.288,0.9,7.0,4.0,24.5,0.8,0.0,24.0,15.5,0.0,0.2,0.1,0.3,.051,0.0,-2.0,-2.4,-4.4,-0.1
