Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Salary
Precious Achiuwa,C,22,TOR,21,17,556,71,184,.386,7,26,.269,64,158,.405,.405,19,35,.543,49,124,173,33,11,12,23,53,168,10.4,.421,.141,.190,9.1,25.8,17.0,8.5,1.0,2.1,10.3,17.2,0.0,-0.2,0.6,0.3,.030,0.0,-3.5,-1.2,-4.7,-0.4,2711280.0
Steven Adams,C,28,MEM,25,25,622,65,124,.524,0,0,0.0,65,124,.524,.524,48,76,.632,94,120,214,68,22,18,42,44,178,17.1,.565,.000,.613,15.9,21.0,18.4,14.4,1.7,2.7,21.1,13.4,0.0,1.1,0.6,1.6,.126,0.0,0.3,-1.0,-0.7,0.2,17073171.0
Bam Adebayo,C,24,MIA,18,18,592,126,243,.519,0,1,.000,126,242,.521,.519,85,112,.759,49,134,183,57,20,6,53,59,337,19.7,.577,.004,.461,9.5,25.0,17.4,16.1,1.7,1.1,15.3,25.9,0.0,1.0,0.9,1.8,.149,0.0,0.8,0.9,1.7,0.5,28103550.0
Santi Aldama,PF,21,MEM,14,0,145,22,63,.349,3,27,.111,19,36,.528,.373,6,10,.600,15,25,40,12,2,3,4,14,53,10.4,.393,.429,.159,10.9,18.7,14.7,11.6,0.7,1.9,5.6,20.6,0.0,0.0,0.1,0.0,.008,0.0,-3.9,-3.5,-7.4,-0.2,1994520.0
LaMarcus Aldridge,C,36,BRK,23,6,542,138,242,.570,10,29,.345,128,213,.601,.591,33,41,.805,33,101,134,20,7,25,15,38,319,21.3,.613,.120,.169,6.7,18.9,13.1,6.4,0.6,4.1,5.5,22.3,0.0,1.3,0.7,2.0,.180,0.0,2.1,-0.9,1.1,0.4,2641691.0
Nickeil Alexander-Walker,SG,23,NOP,27,18,772,136,369,.369,55,179,.307,81,190,.426,.443,40,52,.769,28,79,107,72,25,11,39,48,367,11.7,.468,.485,.141,3.8,11.5,7.5,15.0,1.6,1.3,9.1,23.9,0.0,-0.2,0.3,0.1,.007,0.0,-1.2,-2.0,-3.2,-0.2,3261480.0
Grayson Allen,SG,26,MIL,25,25,718,113,253,.447,76,181,.420,37,72,.514,.597,29,33,.879,13,80,93,33,16,8,15,38,331,14.7,.619,.715,.130,1.9,11.3,6.7,6.8,1.1,1.1,5.3,16.8,0.0,1.5,0.7,2.2,.147,0.0,2.0,-1.1,0.9,0.5,4054695.0
Jarrett Allen,C,23,CLE,23,23,768,162,230,.704,1,5,.200,161,225,.716,.707,68,100,.680,75,184,259,43,21,29,49,41,393,23.8,.717,.022,.435,10.9,25.6,18.4,9.4,1.4,3.3,15.2,18.4,0.0,2.4,1.4,3.8,.240,0.0,2.7,1.4,4.1,1.2,20000000.0
Kyle Anderson,PF,28,MEM,21,2,455,66,154,.429,18,50,.360,48,104,.462,.487,15,19,.789,23,87,110,50,18,10,20,30,165,14.3,.508,.325,.123,5.3,20.8,12.9,15.3,1.9,2.0,11.0,16.8,0.0,0.4,0.4,0.8,.088,0.0,-0.3,-0.9,-1.2,0.1,9937150.0
Giannis Antetokounmpo,PF,27,MIL,23,23,746,219,419,.523,27,92,.293,192,327,.587,.555,157,233,.674,43,223,266,132,24,38,74,68,622,30.3,.596,.220,.556,6.1,30.3,18.5,32.9,1.6,4.9,12.4,34.2,0.0,2.7,1.5,4.2,.268,0.0,6.7,3.0,9.7,2.2,39344970.0
